"codigo_dispositivo","clientes_distintos"
745,660
11303609,525
829,482
747,457
812,457
4783,430
1146,427
808,411
5394,402
4784,400
11857968,397
11096278,391
1156,388
1147,386
2751,382
14540827,368
2752,367
1116,364
10602407,360
752,360
10327682,359
1157,359
1155,356
10932812,353
1115,350
8352,349
2930,347
60,346
2750,345
5859,344
1976,343
8332,341
605,341
741,340
2376,333
1975,332
13472063,323
746,317
514,316
10313583,308
1117,307
265,303
1104418889,303
1119,303
5538,302
3810,298
5787,291
13575071,291
5144,290
5537,287
5762,284
5086,283
640,282
13333372,277
825,273
4612,271
710,271
742,261
4320,261
8122,258
5788,256
8082,255
8071,250
5215,250
2532,247
4776,246
4658,245
2716,245
749,243
750,242
2899,242
1104421063,242
1669,238
1104416653,237
2337,235
5024,234
2898,232
5519,230
3005,228
1970,228
1076120915,228
10853612,228
5860,226
8040,225
10336139,224
5462,224
1104423593,223
1974,221
2992,221
2753,221
1459,221
716,220
5773,219
5497,219
757,219
3663,217
1121218307,217
1660,217
8062,216
5083,215
1089,214
3256,213
5137,209
3254,208
3003,208
2475,207
10305233,207
2522,206
736,206
1076121198,206
4464,206
6384,203
5203,202
823,201
1701,200
8251,200
2017,199
10315497,198
2843,197
600,196
8061,196
14647986,195
5392,194
5023,194
6280,193
1266,193
61,190
5719,189
1121218306,188
5826,186
2479,185
5631,185
2536,183
2199,183
11463007,182
77,182
5827,181
8031,181
4091,181
2018,179
64,179
1837,179
1458,178
6519,178
4317,178
14292130,177
2756,177
5824,176
5358,175
5825,174
2775,173
8064,172
837,172
5226,172
4031,172
1265,171
4090,171
5158,168
2019,168
2093,168
821,168
807,167
1700,166
803,166
836,166
5632,165
5407,165
205,164
4000,163
2861,163
1104414825,162
813,159
810,159
5157,158
1724,157
5432,156
1076120916,155
5600,154
1121218308,152
5877,150
5172,149
6298,148
5204,148
2862,147
6382,147
5633,146
1104421064,143
14388938,142
62,142
2683,141
11732088,141
4853,141
4093,138
722,138
4649,137
901,137
6311,136
1703,135
4089,134
6312,134
1104423595,134
1702,134
3941,134
744,132
10321651,132
2138,132
900,130
13318241,130
342,128
11322609,128
11279189,127
5937,127
5218,125
10316214,125
10005593,125
3245,125
5210,122
5375,122
815,122
4648,121
8362,119
4909,119
2630,119
735,118
1104423594,118
3044,118
3662,117
1203621492,115
6285,115
4895,115
4835,115
14740583,114
620,114
1076120918,113
5634,113
4094,112
5006,111
6605,109
15287022,108
6447,107
1104427089,106
12370524,106
2134,104
14015341,104
3937,104
739,103
4064,103
5401,102
2037,102
1187,102
2182,101
4594,100
3588,100
