"nombre_barrio","cliente"
Santander,-6.99838E+18
El Troncal,"1.09982E+18"
Prados del Norte,-4.90372E+18
San Judas Tadeo I,-1.44605E+18
Urbanización Ciudad Jardín,"9.20005E+18"
El Cedro,"8.02943E+18"
San Nicolás,-3.14518E+18
Urbanización Militar,-8.50648E+18
Urbanización San Juaquín,"4.77029E+18"
Urbanización La Flora,-7.38123E+18
Urbanización Tequendama,"8.92281E+18"
Prados del Norte,"9.15506E+18"
Unicentro Cali,"3.30463E+18"
San Fernando Nuevo,-5.41725E+18
Julio Rincón,"2.70722E+18"
Parcelaciones Pance,"2.0265E+18"
Unidad Residencial Santiago de Cali,"8.9204E+18"
Lili,"5.60934E+17"
Colseguros Andes,"2.34222E+18"
San Nicolás,"3.14665E+18"
Chapinero,"9.19999E+18"
Bolivariano,-4.94729E+18
Primero de Mayo,-1.03438E+18
El Cedro,"7.08524E+18"
San Vicente,"8.51281E+18"
El Gran Limonar,-8.42391E+18
Santa Rita,-4.6255E+17
Calima,"4.22722E+18"
Torres de Comfandi,"1.86468E+18"
Pampalinda,"3.42801E+18"
San Pedro,"8.1069E+16"
El Sena,-4.24851E+17
Urbanización Militar,-7.60471E+18
Granada,-7.11598E+17
San Nicolás,-4.09838E+18
Unidad Residencial Santiago de Cali,"5.20502E+18"
Versalles,-7.48799E+18
Juanambu,"5.16403E+18"
Chapinero,-7.24952E+18
Prados del Norte,"5.23768E+18"
San Vicente,"7.62405E+18"
San Fernando Nuevo,-7.31821E+18
Granada,"8.90549E+18"
Unicentro Cali,"4.54465E+18"
Unidad Residencial Santiago de Cali,"5.86322E+18"
El Cedro,"7.94207E+18"
Nueva Floresta del Ict,-9.97204E+17
San Fernando Nuevo,-9.63781E+16
Urbanización Ciudad Jardín,-2.92109E+18
San Fernando Nuevo,-9.13147E+18
Urbanización Tequendama,-4.74981E+18
Calima,"2.5159E+18"
San Vicente,"1.0533E+18"
Los Lagos,-2.09695E+18
Ville Grande,-4.80078E+18
Unicentro Cali,-1.05503E+18
Lili,"8.06026E+18"
Los Alcázares,"7.62582E+18"
Chapinero,-6.7949E+18
Calima,-8.64517E+18
San Pedro,-2.35223E+18
Sucre,-5.78415E+18
Vipasa,"3.70369E+18"
Brisas de los Álamos,"4.56241E+18"
San Vicente,"4.32559E+18"
El Gran Limonar,-4.55023E+18
Juanambu,-8.21453E+18
Urbanización San Juaquín,-1.41923E+18
Los Guaduales,"9.06118E+18"
Urbanización Militar,-1.17772E+18
El Gran Limonar,-1.47623E+18
Bretana,"8.76839E+18"
Santa Mónica Residencial,"3.67658E+18"
San Pedro,-7.78261E+18
San Vicente,"7.50308E+18"
San Pedro,-5.72768E+18
Santa Mónica Residencial,"6.18906E+18"
El Ingenio,-8.90297E+18
Los Guaduales,"7.36032E+18"
Unidad Residencial Santiago de Cali,-8.59222E+18
Unidad Residencial Santiago de Cali,-7.7691E+17
Santander,"5.64349E+18"
San Fernando Nuevo,"1.61958E+18"
Junin,"8.81345E+18"
San Vicente,"5.88301E+18"
Parcelaciones Pance,-2.41402E+18
Unidad Residencial Santiago de Cali,"2.2664E+18"
Sucre,"1.70937E+17"
Chipichape,-6.67408E+18
El Cedro,-8.72915E+18
Vipasa,"8.79788E+18"
Unicentro Cali,-1.09089E+18
Urbanización Militar,-4.34582E+18
Unidad Residencial Santiago de Cali,"1.46972E+17"
Unidad Residencial Santiago de Cali,-6.51151E+18
Unidad Residencial Santiago de Cali,-8.06705E+18
San Pedro,-1.72724E+18
El Sena,-6.75448E+18
Prados del Norte,"7.77855E+18"
San Vicente,-5.81419E+18
Juanambu,"3.55444E+18"
Desepaz Invicali,-6.50453E+18
San Fernando Viejo,-6.68076E+18
Los Alcázares,"5.99549E+17"
Chipichape,-6.35043E+18
Vipasa,-4.4794E+18
Santa Rita,"7.49089E+18"
San Vicente,"7.22462E+18"
San Pedro,-6.68038E+18
San Pedro,"8.45292E+18"
El Gran Limonar,"3.53634E+18"
Parcelaciones Pance,-4.97109E+18
Unicentro Cali,-1.51138E+18
El Ingenio,"4.47635E+18"
Unicentro Cali,-5.75981E+17
San Pedro,"4.1812E+18"
Unidad Residencial Santiago de Cali,-2.70025E+18
Urbanización San Juaquín,"8.55539E+18"
Chapinero,"3.56665E+18"
San Vicente,"5.47035E+18"
Chapinero,-7.89945E+18
Lili,"1.84975E+18"
San Vicente,"6.41413E+17"
El Sena,-3.978E+18
La Merced,"4.14732E+18"
Alameda,-2.87528E+18
San Nicolás,"1.12711E+18"
San Nicolás,"5.00682E+18"
Santa Isabel,-2.80019E+17
Chapinero,-5.82191E+18
El Sena,"1.67226E+18"
El Cedro,-2.34162E+18
San Pedro,-1.83859E+18
El Cedro,"5.38387E+18"
Urbanización San Juaquín,"5.76914E+18"
Prados del Norte,-1.6494E+16
Las Delicias,-8.48532E+18
Lili,"2.70985E+18"
Unidad Residencial Santiago de Cali,-9.18031E+18
Bolivariano,"4.14843E+18"
Urbanización La Flora,"5.76668E+18"
Urbanización Tequendama,-3.66862E+18
Granada,"7.23553E+18"
Unidad Residencial Santiago de Cali,-2.2483E+18
Urbanización San Juaquín,"2.63165E+18"
Urbanización Tequendama,"1.31771E+18"
Chapinero,"5.18243E+18"
Ciudad Capri,-4.81325E+18
Santa Mónica Residencial,"7.83905E+18"
San Fernando Nuevo,-1.42002E+16
San Vicente,"4.32752E+18"
San Fernando Viejo,-1.56951E+18
Unicentro Cali,-1.82399E+18
La Rivera,-2.10672E+17
El Gran Limonar,-4.23465E+18
Calima,"8.35837E+18"
Los Guaduales,-6.348E+18
Belén,-5.37882E+18
La Merced,"8.2587E+18"
San Fernando Nuevo,"2.40175E+18"
San Vicente,-7.11794E+18
Unicentro Cali,"1.04598E+18"
San Nicolás,"4.20258E+18"
Barrio Eucarístico,-1.03368E+18
La Flora,"8.20878E+18"
Santa Teresita,"5.51497E+17"
Los Lagos,"6.09953E+18"
Vipasa,"2.03032E+18"
Bretana,-8.72725E+18
El Cedro,"6.80696E+18"
Urbanización La Flora,-6.56018E+18
El Gran Limonar,"4.82329E+18"
Versalles,-8.99319E+18
Juanambu,-8.13653E+18
Urbanización San Juaquín,"6.87978E+18"
Urbanización Tequendama,"1.1012E+18"
Julio Rincón,"2.86821E+18"
Unidad Residencial Santiago de Cali,-3.32582E+18
Santa Anita,"3.20857E+18"
El Gran Limonar,-2.97214E+18
Parcelaciones Pance,-6.71226E+18
El Troncal,"2.78616E+18"
Saavedra Galindo,"3.68371E+18"
Santander,"5.40524E+18"
Urbanización La Flora,-5.53192E+18
Lili,"5.93614E+18"
El Sena,"6.46982E+18"
San Vicente,"6.25233E+18"
San Pedro,"8.53484E+18"
Nueva Floresta del Ict,"7.37676E+17"
Santa Mónica Residencial,-5.6408E+18
Belén,"5.28138E+18"
Unicentro Cali,"5.54028E+18"
Bolivariano,"7.45114E+18"
Calima,"6.96758E+17"
Santa Mónica Residencial,"4.30245E+17"
Calima,-2.39969E+18
San Pedro,"6.79684E+18"
