address,bathrooms,cost,description,id,rooms,rootmeters,salesperson,title,url
"Barquisimeto, Del Este, Barquisimeto, Lara",2 baños,27.000,"CÓDIGO: 25-11265,Apartamento en venta en zona centro este de Barquisimeto, cómodo y amplio. Cuenta con 3 habitaciones y dos baños, piso medio. Flujo de agua constante.",[1],3 habitaciones,95 m² totales,Inmueblesmya,"Ana Karina Molleja Vende Amplio Apartamento En Zona Este Barquisimeto, Lara /akm ",#820675198
"Avenida Principal De El Cafetal, El Cafetal, Caracas - Baruta (este), Distrito Capital",3 baños,94.000,"100,98m² apto y 76,47m² de terraza techada (la terraza tiene una parte destechada para parrillera y entrada privada al apto). También tiene salida directa al Jardín común del edificio.,3 Hab., 3 Baños, 1 P.E. estacionamiento grande y posibilidades de alquilar otro puesto dentro del edificio.,Apto recién remodelado, terminando actualmente algunos acabados.,Distribución: Gran family o área social con entrada independiente y conectada al patio o área de parrillera, dos habitaciones con baño privado, equipada cocina concepto abierto con tope de cuarzo, sala comedor con gran ventanal y vista al jardín, baño de visitas. La tercera habitación esta en la parte intima de la casa. El family o área social que esta conectada al patio posee un mueble con fregadero y mesón de trabajo.,Se deja la línea blanca (Cocina equipada, lavadora y secadora).,Ambas puertas principales de seguridad, ventanas correderas y paneles de vidrio grandes en los ambientes principales, puerta esmerilada en el área de la cocina, baños y cocina con topes de cuarzo y aire acondicionado en todos los ambientes.,Gas directo.,Agua de lunes a viernes y tanque de 1.200 Lts dentro del apto.,Edif baja densidad en buen estado con jardín y salón de fiesta.",[2],3 habitaciones,177.48 m² totales,Ew20241107193351,"Se Vende Pb Con Terraza, Ubicada En El Boulevard Del Cafetal, Baruta, Caracas.",#767840427
"3m93+qm9, Barquisimeto 3001, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",3 baños,240,"#25-11294,Apartamento en Alquiler cercano a Centros Comerciales, Abastos, Panaderias y mucho mas. Cercano a Av Principal de Barquisimeto, Cuenta con Vigilancia Privada las 24 horas del dia, cancha deportiva, gas directo, linea cantv, internet y tv por cable, cocina equipada.",[3],4 habitaciones,63 m² totales,Gonzalez Marcos2,Marcos Gonzalez Alquila Bello Y Acogedor Apartamento Zona Oeste Barquisimeto - Lara #25-11294,#820077110
"66-55 C. Araguaney, Barquisimeto 3001, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",1 baño,32.000,"Descubre tu nuevo hogar en el Este de la Ciudad!. magina despertar cada mañana en un hermoso apartamento ubicado en una de las zonas más deseadas del Este. Con 63 mts² de pura comodidad y estilo, este espacio ha sido diseñado para brindarte la calidad de vida que mereces. Este encantador apartamento cuenta con una habitación espaciosa, perfecta para tu descanso. Disfruta de un acogedor salón- comedor ideal para tus reuniones con amigos y familiares. Su cocina completamente equipada te permitirá explorar tu talento culinario, mientras que el baño, elegante y moderno, ofrece un refugio privado y relajante. Además, ¡olvídate de preocuparte por el espacio de almacenamiento! Este apartamento incluye un maletero amplio y un puesto de estacionamiento techado. Visualiza esas soleadas tardes disfrutando de la luz natural que inunda cada rincón de tu nuevo hogar. La combinación perfecta de espacio y luminosidad, todos los días. Cada detalle de este apartamento ha sido pensado para ofrecerte un entorno confortable y acogedor. La ubicación privilegiada en el Este te brinda acceso a restaurantes, tiendas y parques, convirtiendo cada salida en una aventura. No dejes pasar la oportunidad de hacer de este apartamento tu nuevo hogar. Contáctanos hoy para agendar una visita y experimentar en persona todo lo que este espectacular espacio tiene para ofrecerte. Tu nuevo estilo de vida te está esperando. ¡Haz la mudanza de tu vida! Maria Elena Oropeza",[4],1 habitación,63 m² totales,Carrasquel Torres,"Ma Elena Oropeza Vende Encantador Cómodo Apto En Del Este, Lara Cod 25-8423",#819920070
"Barquisimeto, Barquisimeto, Barquisimeto, Lara",1 baño,230,"Comodidad y practicidad en el centro! Este estudio, diseñado para ofrecer el máximo confort, cuenta con todos los servicios básicos que necesitas: agua y luz constante. Ideal para parejas, solteros o pequeñas familias, este espacio te brinda la libertad de tener a tus mascotas contigo. Ubicado en una zona estratégica, tendrás fácil acceso a transporte público, comercios y servicios. ¡No busques,más, tu nuevo hogar te espera!",[5],1 habitación,30 m² totales,Rahdeleste,"Dennymar, Alquila Apartamento Ubicado En Zona Centro Con Facil Acceso A Comercios, Transporte Publico. Ideal Para Ti Que Estas Independizándote, Contáctame. B598f5",#768030287
"Barquisimeto, Otros, Barquisimeto, Lara",,150.000,"Cerca de principales Avenidas,ideal para deposito ,687 mts2 de terreno ,550 mts2 de construcción,3 Oficinas más área con aire acondicionado de 18.000 BTU,3 Baños,Sistema de cámaras DVR,Energía eléctrica monofásica,Techo altos de buena resistencia Mezzanina amplia Garita de Vigilancia,INVERSIÓN: $150.000,CANON $1.000,Contáctanos para apoyarte con nuestra asesoría:,0414-578.21.21",[6],3 baños,687 m² totales,Noguerainmuebles,Gustavo Viloria Galpón En Venta O Alquiler En Zona Centro De Barquisimeto Lara Casco Histórico,#815435044
"Residencia San Antonio Detras C.c. Unicentro Base Aragua  Sn, Base Aragua, Girardot (Maracay), Aragua",5 baños,2.000,"Inversiónes BIENPROIN en Alianza Promociona Moderno Apartamento en Alquiler a Estrenar ubicado en Residencia San Antonio I Base Aragua al lado del C. C. Unicentro Maracay Maracay Estado Aragua,Data Nueva y acabados Modernos,Cuenta con un espacio de 269 Mts² aproximadamente ,4 Habitaciones con closets ,5 Salas de Baño modernas con pareduches de vidrio templado,Amplia terraza con Area de BBQ y Lavandería ,Cocina de Lujo equipada concepto Abierto ,A/A En todos los ambientes,3 Puestos de Estacionamiento ,1 Maletero,El conjunto cuenta con planta electrica total y Vigilancia Privada 24/7 ,Canon de Arrendamiento Ref. 2000,Visité está estupenda propiedad en Alquiler con Nosotros,Contáctenos Somos BIENPROIN Marcando la Diferencia en el Mundo Inmobiliario",[7],4 habitaciones,269 m² totales,Bienproin2023,Moderno  Lujoso Apartamento Amoblado San Antonio Base Aragua,#817917986
"3mcx+vhx, Carrera 24, Barquisimeto 3001, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",3 baños,115.000,El vendedor no incluyó una descripción del inmueble.,[8],3 habitaciones,172 m² totales,Remi,Apartamento Duplex Moderno De 172m2,#818142842
"Urbanizacion El Pedregal, El Pedregal, Barquisimeto, Lara",4 baños,110.000,"Apartamento de 163 m2 ,3 habiptaciaones con Baño,Sala Comedor y Área de Cocina más Balcón Integradas ,Pisos Porcelanato, Instaciones para AIRE/ACOND INTEGRAL,Planta Eléctrica ,Pisos bajo ,2 Puestos Techados , Vigilancia ,Más información INMVERSO LARA,POSIBLE FINANCIAMIENTO HASTA 6 MESES INICIAL MÍNIMA 60%,Más Información: ,INMVERSO LARA,Julio Hernandez 04149515385",[9],3 habitaciones,163 m² totales,Vendedor,Apartamento En El Pedregal,#817961646
"San Román, Caracas - Baruta (norte), Distrito Capital",4 baños,285.000,"Apartamento en Lomas de San Román con bella vista al Ávila.,164Mts distribuido en:,3 Habitaciones con aire acondicionado+ Servicio,2 Baños completos + Servicio,1/2 Baño de visitas.,La Habitación principal tiene baño y vestier.,Salon / Comedor Integrados con aire central.,Terraza,Maletero.,El edificio cuenta con:,- Gran tanque de agua por lo que no tienen problemas de racionamiento.,- Piscina,- Gimnasio,- Parque Infantil,- Parque para perros,- Puestos de Visitantes.,Una excelente inversión en una de las mejores zonas de Caracas.,(IV/AR300)",[10],3 habitaciones,164 m² totales,Tuc Ivgpsinmobiliario,Bello Apartamento En Lomas De San Román,#815621204
