by,date_published,description,time,title
,2024/12/19,"Luego de la consulta pública, los diputados de la,decidieron designar una comisión técnica para discutir las modificaciones que se realizarán al proyecto de ley que reforma la,En la mañana de este jueves, la mayoría de los diputados de la comisión se reunieron en un salón del edificio nuevo de la Asamblea para conversar acerca de como sería la mecánica para llevar a cabo el,, ante un sinnúmero de propuestas recibidas.,Fueron asistidos por,. Al lugar también se apersonaron otros diputados que no forman parte de la comisión.,Como se estila cuando uno se refiere al tema de seguridad social en esta comisión participará representantes de los,para que se sumen a los diputados para consolidar un proyecto que pueda ser aprobado en primer debate.,Esta no va a ser una comisión que vaya a dilatar el debate, sino lo que se busca es que el proyecto pueda ser,, que culminan el próximo 31 de diciembre.,Cedeño dijo que lo más seguro es que el primer debate sea dividido en,para una mejor discusión.,,,,"",que tenemos hasta el 31 de diciembre para ver que producto podemos sacar, pero depende mucho de todo lo que evaluemos, inclusive, con el mismo Ejecutivo"", indicó el diputado.,Es una tarea ardua revisar tantas propuestas recibidas a lo largo de seis semanas, no obstante, el presidente de la comisión de Salud planteó que,porque fueron redundantes.,, sostuvo el diputado.,Este jueves fue aprobada la comisión técnica y se espera que pueda comenzar a operar el próximo,,,",15:36:25,Diputados aprueban comisión tripartita para modificaciones a proyecto sobre la CSS
"Redacción,",2024/12/06,"El presidente de la República,,, tuvo un breve encuentro con el presidente de Argentina,,, durante la Cumbre de Presidentes de Estados parte del Mercado Común del Sur (Mercosur) que se llevó a cabo este viernes.,En este corto pero significativo encuentro, Milei le dijo a su homólogo panameño que puede contar con él, a lo que Mulino le respondió “yo lo sé”.,Mulino agregó: “Si me pueden ayudar, me ayudas”, mientras que Milei contestó “no tengas duda”.,“Estamos construyendo una alianza regional que cuide la,. Juntos vamos a superar las crisis que han golpeado a nuestros pueblos”, posteó Mulino en su cuenta de X acompañado del video del encuentro.,Cabe recordar que tras asumir la presidencia, el pasado 1 de julio, Mulino sostuvo una conversación telefónica con Milei, a quien le manifestó el deseo de seguir su ejemplo para,,Mientras que el mandatario argentino le envió buenos deseos para los desafíos que tenía que enfrentar.,,,,Panamá ingresó  este viernes como estado asociado al,siendo el primer país no sudamericano que consigue el estatus.,Fundado en 1991, el Mercosur cuenta entre sus miembros plenos con,y, en proceso de cumplir los requisitos finales, Bolivia. Además, el resto de los países sudamericanos actúan como estados asociados.,",20:03:00,Mulino y Milei fortalecen lazos por la democracia y la libertad
"Vivian Jiménez,",2024/12/11,"La oficialización de la integración de Panamá al,(Mercosur) como estado asociado, es todo un hecho, el país forma parte del bloque que representa la quinta economía del mundo y con ello se espera que obtenga múltiples beneficios económicos y financieros.,Para el economista Olmedo Estada, la adhesión a este grupo le permitirá al país aumentar sus,impactando de manera positiva la economía nacional.,Esto no solo facilitará la llegada de inversión extranjera, sino que también se traducirá en nuevas oportunidades laborales para los panameños, ya que, los inversionistas necesitarán mano de obra local para atender sus empresas en el país.,Con relación a las,, Estrada considera que esta integración ayudará a limpiar la imagen de Panamá internacionalmente.,“Creo que son iniciativas muy favorables, ojalá se conviertan verdaderamente en relaciones comerciales robustas donde nosotros podamos también en doble vía intercambiar servicios y bienes”, subrayó a Nex Noticias.,Según el Ejecutivo formar parte de este bloque permitirá fortalecer la relación de intercambio con los países miembros, facilitando la exportación de productos como carne deshuesada, café, leche, semilla de anís, aceite de jojoba, entre otros.,,,,En su discurso ante los representantes del Mercosur, el presidente José Raúl Mulino ponderó las cualidades y virtudes de Panamá, ofreciendo su,como un importante aporte a dicho grupo.,“Panamá considera que su participación en el Mercosur permitirá fortalecer las relaciones entre nuestros países propiciando el,y de acceso a mercados internacionales a través de nuestro Canal y nuestros puertos”, aseveró.,Por su parte, el ministro de Economía y Finanzas, Felipe Chapman, catalogó esta incorporación como “exploratoria”, pues tanto Panamá como el resto de los países que integran el Cono Sur deben aprender unos de otros.,Aunque el país en estos momentos solo cumple la función de asociado, el Ejecutivo no descarta que pueda convertirse en estado parte del mismo.,",15:30:20,¿Qué beneficios obtendrá Panamá de su integración al Mercosur?
,2024/12/07,"El abogado Roniel Ortiz reflexionó esta semana sobre la importancia de concentrarse en los temas críticos que aquejan al país y no desviar la atención con ""shows"", tras las palabras del ministro de Economía y Finanzas (MEF), Felipe Chapman, contra el expresidente Ricardo Martinelli.,Ortiz expuso que cada uno tiene la libertad de expresar lo que desee,,""A estas alturas es inaceptable que estemos haciendo este tipo de show de arrabal y de bajo nivel"", agregó Ortiz.,Las palabras de Chapman sorprendieron al jurista, toda vez que dijo que siempre ha recordado a Chapman padre como un hombre serio e igual opinión tenía de su hijo.,""Señor ministro usted es un caballero, yo lo insto a que enmiende lo que dijo,,También precisó que si existe un odio de años es tiempo de olvidarlo y pasar la página por el bien del país.,,,,""Panamá necesita medicina barata, mejor servicio médico, mayores ingresos, trabajo, estudios, esa es la respuesta que el pueblo espera de todos los que conforman el gobierno. Concéntrense en echar para adelante este país"", destacó.,El abogado agregó que habló con Martinelli y,Por otro lado, el abogado Omar Singh puntualizó que la preocupación en este momento, del pueblo panameño, se centra en la Caja de Seguro Social.,""No es el tema a tratar, el tema es buscar la solución a la crisis de la Caja de Seguro Social"", destacó.",20:15:26,Ortiz sobre Chapman: 'En este momento son inaceptables estos shows'
"Redacción,",2024/12/08,",,,,,",11:52:58,Panamá condena desaparición de uruguayo en Venezuela
"Redacción,",2024/12/08,",,,,,,",17:53:34,Quienes politizan el proyecto de la CSS inventan una pelea política que no existe en RM
"Francisco Rodríguez Morán,",2024/12/09,"El Frente Amplio por la Democracia (FAD) está a punto de convertirse en partido político por tercera vez, luego de que el último informe de la Dirección Nacional de Organización Electoral (DNOE) del Tribunal Electoral indicara que cuentan con 50,027 miembros.,Para que una organización política obtenga el estatus de partido político, debe alcanzar al menos 45,503 firmas, según el Decreto 36 del 5 de julio de 2024.,Esta cifra corresponde al,emitidos en la última elección presidencial, celebrada el 5 de mayo de 2024.,El,se identifica ideológicamente con la izquierda y ha existido en dos períodos: del 12 de septiembre de 2013 hasta mayo de 2014, y luego del 21 de febrero de 2018 al 25 de julio de 2019.,conversó con un dirigente del colectivo político, que está a punto de obtener la legalidad requerida por el Tribunal Electoral (TE). Silvestre Díaz expresó: “Llegamos a la meta en un proceso planificado a partir de la nueva realidad política. Nos impusieron tener que inscribirnos dos años antes de las elecciones”.,,,,A juicio de Díaz, “la pandemia y dos grandes,especialmente el de 2022 y luego el de 2023 con el tema minero, nos lo impidieron. Además, se suspendieron las inscripciones por el proceso electoral durante seis meses”.,“En 2023 cerramos con aproximadamente 14,000 adherentes. A partir de julio de este año reanudamos el proceso. En cinco meses reunimos 34,000 firmas, lo que nos permitió superar la meta establecida en más de 5,000 firmas”, agregó.,El vocero indicó que esperan reunirse con la,y dar los pasos hacia el congreso constitutivo, que debe realizarse dentro de los tres meses posteriores al reconocimiento de las firmas por parte del TE.,Díaz mencionó que continuarán inscribiendo adherentes durante unos días más antes de reunirse con el TE.,“Nuestra aspiración es participar en las próximas elecciones como un instrumento de los movimientos sociales, populares y patrióticos, y presentar candidatos a los distintos puestos de elección”, aseveró.,,Ante la interrogante de si el FAD estaría dispuesto a realizar una alianza con otro sector, Díaz dijo: “Nuestra alianza natural es con las fuerzas progresistas, populares, democráticas y de izquierda, aunque no sean partidos políticos reconocidos legalmente. Es prematuro hablar de otras alianzas. Falta mucho para ver cómo se configura el tablero. Pero ya podemos decirle al pueblo que estamos adentro, que la esperanza de un cambio social real nunca muere. Felicitamos a los compañeros por este hito histórico y el gran esfuerzo realizado”.",19:30:00,"FAD, a un paso de ser partido político por tercera vez"
"Redacción,",2024/12/02,"Cinco nuevos embajadores provenientes de,presentaron formalmente sus credenciales ante el presidente de la República,,La jornada diplomática,  que se llevó a cabo en el Salón Amarillo de la Presidencia, se inició con la presencia de la Embajadora Extraordinaria y Plenipotenciaria de Canadá,,, seguida por el Embajador Extraordinario y Plenipotenciario de Japón,,Ambos diplomáticos expresaron el compromiso de sus respectivos Gobiernos de fortalecer las relaciones con Panamá.,Continuaron las presentaciones el Embajador Extraordinario y Plenipotenciario de la República de Colombia,,; el Embajador Extraordinario y Plenipotenciario de la República de Rumanía,,; y el Embajador Extraordinario y Plenipotenciario de la República Checa,,,El presidente Mulino, quien estuvo acompañado por el ministro de Relaciones Exteriores, Javier Martínez-Acha, dio la bienvenida a los nuevos embajadores, quienes manifestaron interés en promover la cooperación y el intercambio cultural, económico y político entre sus países y Panamá.,La ceremonia marca un paso importante en la consolidación de vínculos y el fortalecimiento de la diplomacia panameña en el contexto internacional.,,,,",13:25:19,Cinco nuevos embajadores presentan credenciales al presidente José Raúl Mulino
,2024/12/19,"Luego de la consulta pública, los diputados de la,decidieron designar una comisión técnica para discutir las modificaciones que se realizarán al proyecto de ley que reforma la,En la mañana de este jueves, la mayoría de los diputados de la comisión se reunieron en un salón del edificio nuevo de la Asamblea para conversar acerca de como sería la mecánica para llevar a cabo el,, ante un sinnúmero de propuestas recibidas.,Fueron asistidos por,. Al lugar también se apersonaron otros diputados que no forman parte de la comisión.,Como se estila cuando uno se refiere al tema de seguridad social en esta comisión participará representantes de los,para que se sumen a los diputados para consolidar un proyecto que pueda ser aprobado en primer debate.,Esta no va a ser una comisión que vaya a dilatar el debate, sino lo que se busca es que el proyecto pueda ser,, que culminan el próximo 31 de diciembre.,Cedeño dijo que lo más seguro es que el primer debate sea dividido en,para una mejor discusión.,,,,"",que tenemos hasta el 31 de diciembre para ver que producto podemos sacar, pero depende mucho de todo lo que evaluemos, inclusive, con el mismo Ejecutivo"", indicó el diputado.,Es una tarea ardua revisar tantas propuestas recibidas a lo largo de seis semanas, no obstante, el presidente de la comisión de Salud planteó que,porque fueron redundantes.,, sostuvo el diputado.,Este jueves fue aprobada la comisión técnica y se espera que pueda comenzar a operar el próximo,,,",15:36:25,Diputados aprueban comisión tripartita para modificaciones a proyecto sobre la CSS
Redacción,2024/11/21,"El presidente de la República, José Raúl Mulino, suscribió formalmente hoy la Declaración de Chapultepec y la Declaración de Salta II, ambos convenios orientados a fortalecer la libertad de prensa en América Latina.,Tras ello la Sociedad Interamericana de Prensa (SIP), gremio que integra a los propietarios, editores y directores de diarios, periódicos y agencias informativas de América, manifestó que la firma de estas dos declaraciones enfocadas a preservar la libertad de expresión y de prensa representa un hito histórico para Panamá.,Además, el organismo resalta que Panamá se convierte en el primer país de la región en suscribir la Declaración de Salta II, con lo cual marca un precedente que, espera, sea emulado a lo largo de toda las Américas. Declaración de Salta II se enfoca en los desafíos contemporáneos de la libertad de prensa en el entorno digital, incluyendo el tema de la inteligencia artificial.,La firma de los dos documentos se dio hoy en el Salón Amarillo del Palacio Presidencial, con la presencia de los representantes de la SIP, encabezados por su presidente, José Roberto Dutriz.,Mulino reafirmó su compromiso con la libertad de expresión y de prensa destacando que su gobierno ha establecido importantes avances de transparencia, entre ellos la digitalización y publicación de todas las actas que se aprueban en el Consejo de Gabinete, así como en la información de la llamada partida discrecional, que se maneja desde la Presidencia, y su conferencia semanal.,“He dado muestras de apertura. Tomamos todas las actas del Consejo de Gabinete que por años fueron materia reservada, se digitalizaron y se subieron a la página web de la Presidencia de la República, como siempre debió ser. Yo no tengo nada que esconder, yo no tengo negocios y tampoco tengo socios ni intermediarios para que gestionen por mí en los distintos órganos del Estado, absolutamente nada”, manifestó Mulino tras firmar las declaraciones de Chapultepec y de Salta II.,,,,El mandatario panameño también anunció que una de sus metas es dejar una ley que separe la Autoridad Nacional de Transparencia y Acceso a la Información (ANTAI) de la Presidencia, para que se convierta en una entidad autónoma que maneje los temas de transparencia, acceso a la información “y que no digan que es el Presidente el que aprueba o no que se entregue determinada información”.,Mulino dijo que, como presidente de Panamá, también apela al respeto y a la verdad por parte de los medios de comunicación. “So pretexto de informar no se puede mentir, mucho menos acabar con la honra de las personas. Tiene que haber un balance entre los medios, el accionar público y el accionar ciudadano; no todo puede ser presunción de culpabilidad”, sostuvo Mulino ante los representantes de la SIP y los medios de comunicación locales.,Por su parte, el presidente de la SIP, José Dutriz, reiteró que la firma de estos dos documentos con los que Panamá se adhiere y renueva su compromiso con los principios de la declaración de Chapultepoec y de Salta II es un paso muy significativo a favor de la democracia panameña, “en un momento en el que estamos viviendo en la región mucha polarización política”.,“Creemos que Panamá va a tener un ambiente muy propicio para el libre ejercicio del periodismo”, destacó el presidente de la SIP.,Dutriz también resaltó el buen funcionamiento de la ANTAI debido a los avances que ha tenido en la gestión del presidente Mulino en materia de transparencia y rendición de cuentas.,La SIP reconoció el compromiso de la administración del presidente Mulino de no manipular la pauta publicitaria estatal, “una práctica que en el pasado generó desigualdades hacia la prensa”, señaló Dutriz.,Por parte de la SIP, estuvieron presentes en la firma de ambos documentos Carlos Lauría, director ejecutivo de esta organización; Roberto Rock, director y fundador de “La Silla Rota”; Michael Greenspon, del “New York Times”; y Gabriela Vivanco, del diario “La Hora”.,,",14:39:21,"Mulino se compromete con la libertad de prensa, tras firmar las declaraciones de Chapultepec y de Salta II"
